Fecha,Ciudad,Producto,Cantidad,Precio,Ventas
2023-01-01,Bogotá,Camiseta,10,20.000,200.000
2023-01-01,Medellín,Pantalón,5,50.000,250.000
2023-01-01,Cali,Zapatos,8,30.000,240.000
2023-01-02,Bogotá,Gorra,15,15.000,225.000
2023-01-02,Medellín,Chaqueta,3,100.000,300.000
2023-01-02,Cali,Vestido,12,40.000,480.000
2023-01-03,Bogotá,Camiseta,12,20.000,240.000
2023-01-03,Medellín,Pantalón,7,50.000,350.000
2023-01-03,Cali,Zapatos,10,30.000,300.000
2023-01-04,Bogotá,Gorra,18,15.000,270.000
2023-01-04,Medellín,Chaqueta,4,100.000,400.000
2023-01-04,Cali,Vestido,15,40.000,600.000
2023-01-05,Bogotá,Camiseta,15,20.000,300.000
2023-01-05,Medellín,Pantalón,9,50.000,450.000
2023-01-05,Cali,Zapatos,12,30.000,360.000
2023-01-06,Bogotá,Gorra,20,15.000,300.000
2023-01-06,Medellín,Chaqueta,5,100.000,500.000
2023-01-06,Cali,Vestido,18,40.000,720.000
2023-01-07,Bogotá,Camiseta,18,20.000,360.000
2023-01-07,Medellín,Pantalón,11,50.000,550.000
2023-01-07,Cali,Zapatos,15,30.000,450.000
2023-01-08,Bogotá,Gorra,22,15.000,330.000
2023-01-08,Medellín,Chaqueta,6,100.000,600.000
2023-01-08,Cali,Vestido,20,40.000,800.000
2023-01-09,Bogotá,Camiseta,20,20.000,400.000
2023-01-09,Medellín,Pantalón,13,50.000,650.000
2023-01-09,Cali,Zapatos,18,30.000,540.000
2023-01-10,Bogotá,Gorra,25,15.000,375.000
2023-01-10,Medellín,Chaqueta,7,100.000,700.000
2023-01-10,Cali,Vestido,22,40.000,880.000
2023-01-11,Bogotá,Camiseta,22,20.000,440.000
2023-01-11,Medellín,Pantalón,15,50.000,750.000
2023-01-11,Cali,Zapatos,20,30.000,600.000
2023-01-12,Bogotá,Gorra,28,15.000,420.000
2023-01-12,Medellín,Chaqueta,8,100.000,800.000
2023-01-12,Cali,Vestido,25,40.000,1.000.000
2023-01-13,Bogotá,Camiseta,25,20.000,500.000
2023-01-13,Medellín,Pantalón,17,50.000,850.000
2023-01-13,Cali,Zapatos,22,30.000,660.000
2023-01-14,Bogotá,Gorra,30,15.000,450.000
2023-01-14,Medellín,Chaqueta,9,100.000,900.000
2023-01-14,Cali,Vestido,28,40.000,1.120.000
2023-01-15,Bogotá,Camiseta,28,20.000,560.000
2023-01-15,Medellín,Pantalón,19,50.000,950.000
2023-01-15,Cali,Zapatos,25,30.000,750.000
2023-01-16,Bogotá,Gorra,32,15.000,480.000
2023-01-16,Medellín,Chaqueta,10,100.000,1.000.000
2023-01-16,Cali,Vestido,30,40.000,1.200.000
